名称,重点公式,注意事项,状态,章节
1-1 质点的运动,"1、 $\vec{r}=r(t)$，如果没有给参考系必须先建立
2、位移：$\overrightarrow{AB}=\vec{r_A}-\vec{r_B}=\Delta{\vec{r}}$ ; 速度：$\vec{v}=\frac{d\vec{r}}{dt}$ ; 加速度：$\vec{a}=\frac{d\vec{v}}{dt}=\frac{d^2\vec{r}}{dt^2}$
3、数学变换技巧：$a=\frac{dv}{dt}=\frac{dv}{ds}·\frac{ds}{dt}$ ; $v=\frac{ds}{dt}=\frac{rd\theta}{dt}$","①善用几何关系求速度相关性
②求积分时注意取值范围，描述矢量需点名方向及大小
③求轨迹方程步骤：建立坐标系→根据几何关系写出运动方程、消去t",30%,普物力学
1-2 抛体运动,"1、抛体运动学方程：$\vec{r}=(v_0tcos\theta)\vec{i}+(v_0tsin\theta-\frac{1}{2}gt^2)\vec{j}$
2、轨迹方程：$y=xtan\theta_0-\frac{1}{2}\frac{gx^2}{v^2_0cos^2\theta_0},x_m=\frac{v^2_0sin2\theta_0}{g},y_m=\frac{v^2_0sin\theta_0}{2g}$","①记得解二元一次方程的公式为：
$ax^2+bx+c=0,x=\frac{-b\pm\sqrt{b^2-4ac}}{2a}$",30%,普物力学
1-3 圆周运动和一般曲线运动,"1、加速度：$\vec{a}=\frac{d}{dt}(v\vec{e}_t)=\frac{dv}{dt}\vec{e_t}+\frac{v^2}{R}\vec{e_n}$,其中$\vec{e_t}$为切向，$\vec{e_n}$为法向
PS.在一般曲线运动中$R$用$\rho$代替
2、瞬时角速度：$\omega=\frac{d\theta}{dt}$,瞬时加速度$\alpha=\frac{d\omega}{dt}$
3、角量和线量的关系：$v=R\omega;a_t=R\alpha;a_n=\frac{v^2}{R}=R\omega^2$",,30%,普物力学
1-4 相对运动,"1、伽利略坐标变换式：$\vec{r'}=\vec{r}-\vec{u}t,t=t,\vec{v_{PK}}=\vec{v_{PK’}}+\vec{v_{K'K}}$",,30%,普物力学
1-5 牛顿运动定律 力学中的常见力,"1、牛顿第二定律：$F=ma$,故$\vec{P}=m\vec{v},\frac{d\vec{p}}{dt}=\vec{F}$
2、牛顿第三定律：$F_{AB}=-F_{BA}$
3、万有引力$F=G\frac{m_1m_2}{r^2}$；弹簧弹力$F=-kx$；摩擦力$F_s=\mu_sF_N,F_k=\mu_kF_N,一般来说\mu_s>\mu_k$","①牛顿运动方程只适用于相对于地面的惯性系
②注意区分题中描述的是对地还是相对
③恰脱离问题=支持力$N=0$
④注意选取恰当的分解力的方向，如在圆周运动时选取法相和切向
⑤软绳问题：所受重力和下垂长度成正比，单向侧滑时两侧受重力有变化，绳子上各点的$v$和$a$相等",30%,
1-6 伽利略相对性原理 非惯性系 惯性力,"1、惯性力：$\vec{F_{惯}}=-m\vec{a},\vec{F_{真}}+\vec{F_{惯}}=m\vec{a_{相对}}$",,30%,普物力学
2-1 质点系的内力 质心 质心运动定理,"1、质心： $\vec{r_c}=\int\vec{r}\frac{dm}{m}$
PS.重心（重力作用点）$\neq$质心（质量分布所决定）
2、重要性质：当力的作用线通过质心时，物体只作平动不作转动",①即当系统不受外力作用时，系统的质心位置不变,30%,普物力学
2-2 动量定理 动量守恒定律,"1、质点的动量定理：$\vec{F}·dt=d\vec{p}$，力的冲量$\vec{I}=\int^{t_2}_{t_1}\vec{F}dt=\Delta\vec{p}$
PS.可以解决变质量物体方程，适用于所有惯性系，冲量大小及方向只取决于始末的动量矢量差
2、动量守恒定律：若$\sum \vec{F}=0\to$$d(\sum{m_i}\vec{v_i})=0,\sum{m_i\vec{v_i}}=C$
PS.如果力在某一方向的分量之和为0，动量守恒定律在该方向依然适用，所有质点动量必须是在同一参考系上",①跳车问题：在跳车的一瞬间二者速度变化就已经产生了，题目说在船上以某速度起跳，当然说的是相对于船的速度！！,30%,普物力学
2-3 质点的角动量定理和角动量守恒定律,"1、角动量：$\vec{L}=\vec{r}\times\vec{p}$,方向符合右手定则
2、力矩：$\vec{M}=\frac{d\vec{L}}{dt}=\vec{r}\times\vec{F}$,即质点的角动量定理
3、质点的动量守恒定律：$\vec{M}=0\to\frac{d\vec{L}}{dt}=0,\vec{L}=C$","①力始终通过某定点，对此定点角动量守恒（联系质心的性质）
②可以证明质点在有心力场运动使，在相等时间内对力心的位矢量在空间中扫过的面积相等",30%,普物力学
2-4 功 动能 动能定理,"1、功（标量）：$A=\vec{F}·\Delta{\vec{r}}=(Fcos\theta)|\Delta{\vec{r}}|$，单位$N·m=J$
2、功率：$P=\frac{dA}{dt}=\frac{\vec{F}·d\vec{r}}{dt}=\vec{F}·\vec{v}$，单位$J·S=W$
3、动能定理：$E_k=\frac{1}{2}mv^2,A=E_{kb}-E_{ka}$",,30%,普物力学
