题目,思路,属性,类型
最大值与最小值的变量关系表示,"1、最大值变量表示：$U=\max (X, Y)=\frac{X+Y+|X-Y|}{2}$

2、最小值变量表示：$V=\min (X, Y)=\frac{X+Y-|X-Y|}{2}$",基础,概率论通识
事件,"事件与样本空间：
1、随机试验：1、同条件可重复；2、实验开始前无法预知结果；3、结果可能有多个
2、样本空间：1、随机试验的每一个结果为样本点；所有的样本点组成样本空间
3、随机事件：1、样本空间的子集称为随机事件，简称事件；2、一个样本点组成的事件为基本事件；3、必然事件和不可能事件的定义
——————————————————————————
事件的基本运算：
1、事件的并、交、差、包含、相等
2、运算规律：交换律、结合律、分配律、对偶律
3、运算过程中对一个等式两边与同一事件相交，等式仍成立；反之不能成立（没有消去律：等式两边同时消去同一个交事件等式不能成立）
备注：可以使用图形（文氏图）求解或对结果进行验证
——————————————————————————
文字叙述：（正确理解至少、最少、最多、恰有的含义）
1、至少（最少）：求反向事件（一个都没有，几个都没有）
2、最多：求反向事件（多于最多时的情况，大概率没有等号，即不包含最多）
3、恰有：直接求
注意：同一事件会有多种不同的表达形式
——————————————————————————
事件相互独立：
1、定义：相互独立是指事件集合的任意的子集都互相独立
2、独立事件的充要条件：$P(AB)=P(A)P(B)$（备注：常用用判断两个事件是否是相互独立的）
3、两事件$A,B$相互独立的充要条件是$A$与$\overline B$，或$\overline A$与$B$，或$\overline A$与$\overline B$相互独立（事件独立得到的推论，$A,B$独立并不意味着$A$与$\overline B$就不是独立的，这是个双重否定，害，真拗口，总而言之就是$A,B$相互独立则所有相关的都互相独立）
4、当$0<P(A)<1$时，$A \  B$独立等价于$P(B|A)=P(B)$（一个事件在另一个事件条件下的概率与事件单独发生的概率一致，则这两个事件独立）或者$P(B|A)=P(B|\overline A)$成立（证明：使用条件概率公式）
5、相互独立的n个事件中，任何几个事件换成对立事件，新组成的n个事件也相互独立（利用了上述3的推论）
备注：独立是指两个事件互不影响",基础,随机事件和概率
事件独立、不相容（也叫互斥）、对立的对比,"1、事件独立：依据事件独立公式$P(AB)=P(A)P(B)$，$A,B$事件的发生互不影响（独立性要求两个变量完全不相关；不相关要求两个变量没有线性关系）
2、事件对立：两个事件$A,B$占满了同一个样本空间（对立事件组成并占满整个样本空间），并且彼此之间没有交集
3、事件不相容（互斥）：两个事件没有交集（事件不能同时发生，没有公共样本点），但是不一定占满了整个样本空间
注意：互斥事件与对立事件的区别是互斥可能没有占据整个样本空间",基础,随机事件和概率
概率,"概率的概念和基本运算：
1、概率定义：对应样本空间的实值函数P（即使事件存在也可以使事件概率为0，使用图形法计算事件的关系时，注意区分事件和概率）
2、任意事件概率：$0 \leqslant P(A)\leqslant 1$
3、必然事件概率为1（$P(\Omega)=1$）；空集的概率为0（$P(\emptyset)=0$）
4、两两互斥（不相容）的事件并等于对应每一个事件概率的和（$P\left(A_{1} \cup A_{2} \cup \cdots \cup A_{n}\right)=\sum_{i=1}^{n} P\left(A_{i}\right)$）
5、$P(A)=1-P(\overline A)$ 常用
6、$A \subset B\rightarrow P(A) \leqslant P(B)$：事件的包含与概率的大小的关系比较（事件关系与概率关系对应）
——————————————————————————
区分概率与事件：
1、概率的定义为对应样本空间的实值函数（每一个样本都有一个概率值，即使样本存在概率可能也是零）
2、区分概率和事件的运算的区别，事件相等概率是相等的，但是概率相等事件不一定等同
文氏图法：通过图的相交或者分离表示事件事件的关系，对每一个区域标注变量表示事件区域的概率
——————————————————————————","基础, 思路",随机事件和概率
概率计算公式,"加法公式：
1、$P(A\cup B) = P(A)+P(B)-P(AB)$
2、$P(A\cup B \cup C) = P(A)+P(B)+P(C)-P(AB)-P(AC)-P(BC)+P(ABC)$
——————————————————————————
减法公式：
1、$P(A - B) = P(A)-P(AB)$
2、$A-B=A\overline B \rightarrow P(A-B) = P(A\overline B)$ （注意：如果AB互相独立，则$P(A-B) = P(A\overline B)=P(A)P(\overline B)$，利用了相互独立的公式）
——————————————————————————
乘法公式：
1、$P(A)>0 \rightarrow P(AB)=P(A)P(B|A)$（非独立时乘法运算）
2、$P(A_1A_2\cdots A_n) > 0 \rightarrow P(A_1A_2\cdots A_n)=P(A_1)P(A_2|A_1)\cdots P(A_n|A_1A_2\cdots A_{n-1})$
3、推论：$P(AB) \le P(A)$
备注：事件的相乘是以前提条件为基础的，所以转化成了条件概率
——————————————————————————
全概率公式：
1、条件：$\mathop{ \bigcup }\limits_{{k=1}}^{{n}}\mathop{{B}}\nolimits_{{k}}=\Omega \ $，$\mathop{{B}}\nolimits_{{i}}\mathop{{B}}\nolimits_{{j}}= \emptyset { \left( {i \neq j,i,j=1,2,3, \cdots n} \right) }$，$P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } > 0{ \left( {k=1,2,3, \cdots n} \right) }$；（称$B_1,B_2,\cdots B_n$为$\Omega$的一个完备事件组）
2、结论：$P{ \left( {A} \right) }=\mathop{ \sum }\limits_{{k=1}}^{{n}}P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } \cdot P{ \left( {A \left| \mathop{{B}}\nolimits_{{k}}\right. } \right) }$
备注：事件$B_i$瓜分了整个样本空间，相当于A样本空间的基底？
——————————————————————————
贝叶斯公式：
1、条件：$\mathop{ \bigcup }\limits_{{k=1}}^{{n}}\mathop{{B}}\nolimits_{{k}}=\Omega$，$\mathop{{B}}\nolimits_{{i}}\mathop{{B}}\nolimits_{{j}}= \emptyset { \left( {i \neq j,i,j=1,2,3, \cdots n} \right) }$，$P(A) > 0,P{ \left( {\mathop{{B}}\nolimits_{{k}}} \right) } > 0{ \left( {k=1,2,3, \cdots n} \right) }$
2、结论：$P{ \left( {\mathop{{B}}\nolimits_{{k}} \left| A\right. } \right) }=\frac{{P \left( {\mathop{{B}}\nolimits_{{k}}} \left) \cdot P{ \left( {A \left| {\mathop{{B}}\nolimits_{{k}}}\right. } \right) }\right. \right. }}{{\mathop{ \sum }\limits_{{i=1}}^{{n}}P{ \left( {\mathop{{B}}\nolimits_{{i}}} \right) } \cdot P{ \left( {A \left| \mathop{{B}}\nolimits_{{i}}\right. } \right) }}}=\frac{{P \left( {\mathop{{B}}\nolimits_{{k}}} \left) \cdot P{ \left( {A \left| {\mathop{{B}}\nolimits_{{k}}}\right. } \right) }\right. \right. }}{P(A)}$，换算得到$P(B|A)=P(B)\cdot \frac{P(A|B)}{P(A)}$
3、作用：新信息出现后的B概率=B概率 X 新信息带来的调整（理解调整式子$\frac{P(A|B)}{P(A)}$的计算，依据代数来理解，无法理解，记住公式）
问题：贝叶斯公式能用来干什么？
——————————————————————————
其它公式（AB独立时）：
1、$P(A-B) = P(A\overline B)=P(A)P(\overline B)$（事件的减法公式与独立时的进一步推广）
2、$P(A\cup B) = 1-P(\overline A \  \overline B) = 1-P(\overline A)P(  \overline B)$（利用事件的图形关系可以解释）
——————————————————————————
备注：可以利用事件的图形关系进行辅助理解上述公式","基础, 疑问",随机事件和概率
常见的事件模型,"古典模型：
1、实验结果为n个样本点，每个样本点的发生有相同的可能性，事件A由$n_A$个样本点组成，则事件A的概率为$P(A) = \frac{n_A}{n} = \frac{A包含的样本点数}{样本点总数}$
注意：特点为有限等可能试样
注意：计算时，尽可能选择较小并且简单的样本空间
如何判断和发现最简单的样本空间，或者发现样本空间？整理一下技巧
——————————————————————————
几何型概率：
1、试验的样本空间为区域，以$L(\Omega)$表示其几何度量，$L(\Omega)$有限，且试验结果出现在$\Omega$中的任何区域只与该区域的几何度量成正比，事件A的样本点所表示的区域为$\Omega _A$，则事件A的概率为$P(A) = \frac{L(\Omega _A)}{L(\Omega)} = \frac{\Omega _A的几何度量}{\Omega 的几何度量}$
注意：样本点无限，几何度量上是等可能的
——————————————————————————
独立重复实验与$n$重伯努利实验：
1、独立重复试验：一随机实验做若干次，各次试验所联系的事件相互独立，且同一事件在各个事件在各个试验中出现的概率相同
2、伯努利试验：独立重复试验中只有两个结果
3、n重伯努利实验：伯努利试验重复$n$次
4、n重伯努利试验中事件A（$P(A) = p \ (0<p<1)$）发生$k$次的概率$C_n^kp^k(1-p^{n-k}),k=0,1,2,\cdots ,n$；即二项式的展开式中的项
思路：独立重复实验中如果有多个结果，可以将结果进行归成两类，转换成伯努利实验
——————————————————————————","基础, 思路, 疑问",随机事件和概率
随机变量与分布函数,"随机变量与分布函数定义：
1、随机变量：样本空间$\Omega$上的实值函数$X=X(\omega), \omega \in \Omega$，则称$X(\omega)$为随机变量，简记为$X$（和概率定义一样也是将样本空间映射成一个函数形式，将事件转换成了值（这个值是坐标轴中的横坐标），相当于是为每个$\omega \in \Omega$指定了一个实数$X(\omega)$，实值函数是根据具体的事件进行定义的，连续随机变量和离散随机变量的区别就是具体的事件可以定义成连续值还是可以定义为离散的值，比如抛几次硬币正面的次数（离散）；飞镖到圆心的距离（连续））
2、分布函数：对任意实数x，分布函数定义为$F(x) = P\{ X \le x\}, -\infty < x < +\infty$（随机变量$X$是一个值，分布函数为随机变量$X$小于某一个自变量$x$值时的概率值）
注意：分布函数是含有等号的
——————————————————————————
分布函数性质：（判定分布函数）
1、负无穷为0，正无穷为1
2、单调非减，右连续（$F(x)=F(x^+)$），左不连续（$ F(x^-) \ne F(x) , F(x^-) \le F(x) $）（左不连续才导致某一个点处概率不为0，这是由点处的概率定义得到的）
3、$P\{ x_1 < x \le x_2\} = F(x_2)-F(x_1)$
4、$P\{X=x\} = F(x)-F(x^-)$，$F(x)$在$x$点连续时，$P\{X=x\} = 0$；即只有左不连续时，说明该点存在概率，否则概率为零
——————————————————————————
离散型：
1、离散型随机变量：随机变量取值为有限多个或者可数无穷个
2、概率分布：变量可能取值为$x_1,x_2,\cdots,x_n,\cdots$，$X$取各个可能值得概率为$P\{ X = x_k \} = p_k, k=1,2,\cdots$，可用用列表给出（一维列表、二维列表）
3、性质：每个取值得概率大于等于0，总概率和为1（用来验证求解的结果）
——————————————————————————
连续型：
1、对随机变量$X$得分布函数$F(x)$存在一个非负的可积函数$f(x)$使得$F(x)=\int_{-\infty}^xf(t)dt,-\infty <x<+\infty$，称$X$为连续型随机变量，$f(x)$为$X$的概率密度
2、性质（概率密度的充要条件）：概率密度大于等于0；概率密度全域积分为1（用来验证求解的结果）
3、$P(x_1 < X \le x_2) = \int_{x_1}^{x_2}f(t)dt$（求解指定范围的概率）
4、在$f(x)$的连续点处有$F^{'}(x)=f(x)$（可以由分布函数求解概率密度）
5、$P(x_1 < X < x_2) = P(x_1 < X \le x_2) = P(x_1 \le X < x_2) = P(x_1 \le X \le x_2)$（连续性随机变量范围区间是否闭合不影响变量范围的概率，因为对于连续型每一个具体点的概率都是0）
6、概率密度函数上某一个点的值是概率在该点的变化率，而不是概率的值
注意：连续型随机变量的分布函数一定可以表示成$F(x)=\int_{-\infty}^xf(t)dt$，所以这时的$F(x)$一定是全域上的连续函数，也就是不连续的$F(x)$一定不是连续随机变量；反之，不能说连续的$F(x)$对应的$X$一定是连续型随机变量，只有有概率密度的随机变量才称作连续性随机变量（例如：这里需要补充反例）
注意：连续型随机变量的$F(x)$一定连续，但是$f(x)$不一定是连续的（例如：分布函数含有尖锐的点）
——————————————————————————",基础,随机变量及其概率分布
常用的分布,"常见的分布：
1、0-1分布：1重伯努利试验
2、二项分布：n重伯努利试验，$n$次独立重复试验中成功的次数；$X \sim B(n,p)$
3、几何分布：独立重复试验，每次试验成功率为$p$，则在k次试验时首次试验才成功的概率，$P\{X=k\}=p q^{k-1}, k=1,2, \cdots$
4、超几何分布：N件产品含有M件次品，从中取$n$件（不放回抽取），令事件$X$为抽取的$n$件产品含有的次品个数，则$X$服从参数为$n$，$M$，$N$的超几何分布，$P\{X=k\}=\frac{\mathrm{C}_{M}^{k} \mathrm{C}_{N-M}^{n-k}}{\mathrm{C}_{N}^{n}}, k=l_{1}, \cdots, l_{2}$
5、泊松分布：$P(x) = \frac{\lambda^k}{k!}e^{-\lambda},X \sim P(\lambda)$ ：（k的范围是0,1,2...）一段时间内电话总机接到的次数，候车的旅客数，保险索赔次数
6、均匀分布：$X \sim U(a,b)$
7、指数分布：$f(x) = \begin{cases} \lambda e^{-\lambda x}, & x > 0, \\[5ex] 0, & x \le 0, \end{cases} \ \ \lambda >0$；$X \sim E(\lambda)$
8、正态分布：$f(x)=\frac{1}{\sqrt{{2\pi}}\times\sigma}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2}$；$X \sim N(\mu,\sigma^2)$

备注：所有的表达式与表示方法要记牢
——————————————————————————
二项分布和泊松分布和之间的联系：（泊松定理，按照大概了解即可）
1、$\lim_{n \rightarrow \infty}np_n=\lambda, n\ge1000,p\le0.1 \rightarrow \lim _{n \rightarrow \infty} C_{n}^{k} p_{n}^{k}\left(1-p_{n}\right)^{n-k}=\frac{\lambda^{k}}{k !} \mathrm{e}^{-\lambda}$，即二项分布转换成泊松分布的条件和形式（对于$\lim_{n \rightarrow \infty}np_n=\lambda$中$p_n$是一个事件A在实验中出现的概率，它与实验的总数$n$有关）
2、应用条件：n比较大，$\lambda$比较小（$n\ge1000,p\le0.1$）
注意：分布之间关联参数的关系
——————————————————————————","基础, 疑问",随机变量及其概率分布
常见的分布的性质,"指数分布的无记忆性：
1、$P\{X>t\}=\int_{t}^{+\infty} \lambda \mathrm{e}^{-\lambda t} \mathrm{~d} t=\mathrm{e}^{-\lambda t}, t>0$
2、$P\{X>t+s \mid X>s\}=\frac{P\{X>t+s\}}{P\{X>s\}}=\frac{\mathrm{e}^{-\lambda(t+s)}}{\mathrm{e}^{-\lambda s}}=\mathrm{e}^{-\lambda t}=P\{X>t\}, t, s>0$（利用定义式推导）
备注：求解指数分布的条件概率时可能用的到
——————————————————————————
正态分布性质：
1、标准化形式：$F(x)=\Phi\left(\frac{x-\mu}{\sigma}\right)$
2、范围求解：$P\{a<X \leqslant b\}=\Phi\left(\frac{b-\mu}{\sigma}\right)-\Phi\left(\frac{a-\mu}{\sigma}\right), a<b$
3、性质：概率密度 $f(x)$ 关于 $x=\mu$ 对称, $\varphi(x)$ 是偶函数（根据图像可以推导）
4、性质：$\Phi(-x)=1-\Phi(x), \Phi(0)=\frac{1}{2}$（根据图像可以推导）
5、性质：当 $X \sim N(0,1)$, 有 $P\{|X| \leqslant a\}=2 \Phi(a)-1$（根据图像可以推导）
6、性质：若$X_{1} \sim N\left(\mu_{1}, \sigma_{1}^{2}\right), X_{2} \sim N\left(\mu_{2}, \sigma_{2}^{2}\right)$，$X_{1}$与$X_{2}$相互独立，则$a X_{1}+b X_{2} \sim N\left(a \mu_{1}+b \mu_{2}, a^{2} \sigma_{1}^{2}+b^{2} \sigma_{2}^{2}\right)$（正态分布的组合性质）",基础,随机变量及其概率分布
离散型随机变量的函数分布,"（离散）函数分布的定义：
1、设X的分布律为$P\{X=x_k\}=p_k,k=1,2,\cdots$，则X的函数$Y=g(X)$的分布律为$P\{Y=g(x_k)\}=p_k,k=1,2,\cdots$，如果在$g(x_k)$中有相同的数值，则将它们相应的概率和作为$Y$取该值的概率（合并相同的值）
——————————————————————————
（离散）函数分布的求解：
1、将X的值代入到转换函数中，得到新的值Y，并于原X的概率值进行对应
2、将相同的Y值得概率合并
3、得到新的Y和对应得概率值","中等, 基础",随机变量及其概率分布
