题目,思路,章节
欧拉方程求解,"1、形式：$x^{n} y^{(n)}+p_{1} x^{n-1} y^{(n-1)}+\cdots+p_{n-1} x y^{\prime}+p_{n} y=f(x)$（其中$p_{1}, p_{2}, \cdots, p_{n}$是常数）
2、求解：令$x=\mathrm{e}^{t}$，则$t=\ln x$，从而$\frac{\mathrm{d} t}{\mathrm{~d} x}=\frac{1}{x}$，所以$y^{\prime} =\frac{\mathrm{d} y}{\mathrm{~d} x}=\frac{\mathrm{d} y}{\mathrm{~d} t} \cdot \frac{\mathrm{d} t}{\mathrm{~d} x}=\frac{1}{x} \frac{\mathrm{d} y}{\mathrm{~d} t}$，$y^{\prime \prime} =\frac{\mathrm{d}^{2} y}{\mathrm{~d} x^{2}}=\frac{\mathrm{d}}{\mathrm{d} x}\left(\frac{1}{x} \frac{\mathrm{d} y}{\mathrm{~d} t}\right)=-\frac{1}{x^{2}} \frac{\mathrm{d} y}{\mathrm{~d} t}+\frac{1}{x} \frac{\mathrm{d}}{\mathrm{d} x}\left(\frac{\mathrm{d} y}{\mathrm{~d} t}\right) =-\frac{1}{x^{2}} \frac{\mathrm{d} y}{\mathrm{~d} t}+\frac{1}{x^{2}} \frac{\mathrm{d}^{2} y}{\mathrm{~d} t^{2}}$，则$x y^{\prime}=\frac{\mathrm{d} y}{\mathrm{~d} t}, x^{2} y^{\prime \prime}=\frac{\mathrm{d}^{2} y}{\mathrm{~d} t^{2}}-\frac{\mathrm{d} y}{\mathrm{~d} t}$，引入微分算子$D=\frac{\mathrm{d}}{\mathrm{d} t}$，从而有$x y^{\prime}=\frac{\mathrm{d} y}{\mathrm{~d} t}=D y, x^{2} y^{\prime \prime}=\frac{\mathrm{d}^{2} y}{\mathrm{~d} t^{2}}-\frac{\mathrm{d} y}{\mathrm{~d} t}=D^{2} y-D y=D(D-1) y$，从而将欧拉方程化为线性常系数方程求解",常微分方程
级数综合,"级数与极限：
1、证明极限构成的级数的收敛性
2、由收敛级数的无穷项为0（级数收敛的必要条件），求得极限为0
——————————————————————————
级数与函数：
1、看到导数想到中值定理！
2、构造零点问题（零点定理）
3、高阶连续导数想到泰勒公式展开（注意选取导数为0的点）
4、利用函数表达式对级数的通项做估计（不等式运用）
——————————————————————————
级数与常微分方程：
1、利用现有关系求解级数的和函数
2、利用级数在特定点的值求解待定系数",无穷级数
积分的类型,"1、简单有理式的积分：如果分母可以因式分解，拆分成两个一次式的分式求积分；因式不可以分解，将被积函数拆分成两项，一项是分母的导数（$ln$），一项的分子只有常数（积分是$tan$之类的）（注意：当定积分或者不定积分的原函数包含ln类型函数，如果在定义域上$ln$内部的值有小于零的部分，则$ln$内部需要加绝对值）
2、三角函数有理式的积分：化成同角；尽量约分；分母化成单项式；利用1的代换
3、简单无理式的积分：变量替换去掉根式
4、使用分部积分处理的几种类型
5、对称区间，周期函数的积分：拆分，并项处理
6、含有参变量带绝对值的积分：如果是仅带绝对值的积分，按照定积分的上下限去掉绝对值的符号即可；如果含有参变量$x$（积分变量是$t$，含有参变量$x$），需要讨论$x$的上下限所决定的绝对值符号内的符号来去掉绝对值符号
7、积分杂例处理方案：凑项并拆分；函数含有一个定积分值（设值求解即可）；带绝对值三角函数的积分将区间进行划分（划分成大于0的部分和小于0的部分，对于无穷区间也是如此）",一元积分
积分与极限,"由积分的定义求解极限：
<复习全书 P132 例4>
1、夹逼定理放缩：对积分内的被积函数使用放缩法化简，保留起作用的高次项
注意：此处应用积分中值定理要注意，对积分使用积分中值定理时只是针对某一个极限位置，在极限趋近的过程中，会产生多个积分中值的$\xi_n$，导致每一个极限位置都使用了微分中值定理，可能会发生错误",一元积分
函数极限连续的注意点,"1、单调不一定是连续的：如果出现间断点，但间断点处符合单调趋势，则整体也是单调的
2、振荡的无穷不是无穷大：函数在某个点的去心邻域虽然无界，但是函数在该点的极限不是无穷大
3、导数的定义式与洛必达：对于导数的定义式使用洛必达（即函数在去心邻域可导），则在心处函数是连续的，左右导数相等（这两个条件也可以反向说明去心邻域可导）
4、极限趋近方向：取极限时注意趋近的值的符号，在对变量进行平方和合并到根号内部时特别注意
5、对于两个函数乘积的极限：如果两个函数的极限都不存在，乘积的极限可能存在（某些影响因子抵消了）；如果两个函数其中一个极限存在，另一个极限不存在，乘积的极限可能存在，或者不存在（主要看极限不存在的影响因子是否能被极限存在的多余的影响因子抵消）
6、去心邻域无穷个点无定义不存在极限：如果在去心邻域内有无穷个点没有定义，则谈不上取极限，极限也是不存在（极限不存在的情况之一（其它有无穷，振荡））",函数极限连续
求解三重积分,"直角坐标：
1、先一后二：对于柱形区域，先积分柱的母线方向
2、先二后一：对于某个平面的面积比较好算的情况，先积分这个平面方向
3、特殊情况（先二后一）：如果从图形上可以看出可以有圆的积分（切圆片），并且圆的半径可以由另一个坐标表示，先积分圆片（就是圆面积），再将各个圆片整合（积分另一个方向）
——————————————————————————
柱坐标：
1、柱坐标变换：$\begin{cases} x=r \cos \theta, & 0 \leqslant r < +\infty \\ y=r \sin \theta,& 0 \leqslant \theta \leqslant 2 \pi \\ z=z, &  -\infty<z<+\infty \\ \end{cases}$
2、柱坐标微元：$\mathrm{d} V=r \mathrm{drd} \theta \mathrm{d} z$
3、柱坐标积分：$\iiint_{\Omega} f(x, y, z) \mathrm{d} V=\iiint_{\Omega}(r \cos \theta, r \sin \theta, z) r \mathrm{drd} \theta \mathrm{d} z$
4、柱坐标适用范围：应用于柱、锥或柱锥组合等类型区域（被积分函数的形式是否有利于柱坐标计算$f(x, y, z)=\varphi(z) g\left(x^{2}+y^{2}\right)$）
——————————————————————————
球坐标：
1、球坐标变换：$\begin{cases}x=r \sin \varphi \cos \theta, & 0 \leqslant r<+\infty \\ y=r \sin \varphi \sin \theta, & 0 \leqslant \varphi \leqslant \pi \\ z=r \cos \varphi, & 0 \leqslant \theta \leqslant 2 \pi\end{cases}$
2、球坐标微元：$\mathrm{d} V=r^{2} \sin \varphi \mathrm{drd} \varphi \mathrm{d} \theta$
3、球坐标积分：$\iiint_{\Omega} f(x, y, z) \mathrm{d} V=\iiint_{\Omega} f(r \sin \varphi \cos \theta, r \sin \varphi \sin \theta, r \cos \varphi) r^{2} \sin \varphi \mathrm{drd} \varphi \mathrm{d} \theta$
4、球坐标适用范围：球坐标应用于球、半球、锥与球的组合类型区域（被积分函数的形式是否有利于柱坐标计算$f(x, y, z)=\varphi\left(x^{2}+y^{2}+z^{2}\right)$）",多元积分
空间内第二类积分恒成立问题,"空间内任意有向闭曲线都有第二类曲线积分方程成立，求解方程未知量：（利用路径无关的条件（四个互相等价的条件））
1、积分曲线C为区域D上任意一段分段光滑闭曲线，且第二类曲线积分恒为0
2、转换成偏导相等（即路径无关，或者格林公式被积分函数为0），从而可得一个求未知函数的方程
——————————————————————————
空间内任意有向闭曲面都有第二类曲面积分方程成立，求解方程未知量：
1、想到高斯公式求三维区域积分
2、因为是任意的区域，所以只能是被积分函数为0，从而求得未知量
——————————————————————————
注意：如果未知量是函数可能用到常微分方程",多元积分
线面位置关系,"直线间位置关系：
1、直线的相交判断：两直线若相交，则它们共面，根据三向量共面的充要条件知，两直线的方向向量与两直线上各任意取一点（且非交点）所连的向量的混合积为零（这种方法可以对未知参数进行讨论）
2、直线不相交距离的求解：一种方法是利用两不相交直线的距离公式求解；另一种方法是多元函数极值法，利用参数式表示出两直线的方程，求解参数式之间的距离（距离公式），然后将距离分别对两个参数求偏导，导数为0的点就是极小值（因为两直线如果不相交，必定存在一个极小值）<复习全书P152 例6 评注>
3、求解与两直线都相交并且垂直的直线：先利用已知两向量的叉积求解直线的方向向量，由于与两直线的交点不好确定，所以分别求解过直线并且与待求解直线的方向向量平行的平面（平面是由法向量（法向量是由直线方向向量和待求解的直线方向向量叉积决定的）和一个直线上的定点确定的），两个平面的交线就是待求解的直线
——————————————————————————
平面与直线间的位置关系：
1、平面与平面间的位置关系：设平面$\Pi_{1}: A_{1} x+B_{1} y+C_{1} z+D_{1}=0, \Pi_{2}: A_{2} x+B_{2} y+C_{2} z+D_{2}=0$，平行：$\Pi_{1} / / \Pi_{2} \Leftrightarrow \frac{A_{1}}{A_{2}}=\frac{B_{1}}{B_{2}}=\frac{C_{1}}{C_{2}}$（其中若某分母为零, 理解对应的分子也为零）；垂直：$\Pi_{1} \perp \Pi_{2} \Leftrightarrow A_{1} A_{2}+B_{1} B_{2}+C_{1} C_{2}=0$；夹角：$\cos \theta=\frac{\left|A_{1} A_{2}+B_{1} B_{2}+C_{1} C_{2}\right|}{\sqrt{A_{1}^{2}+B_{1}^{2}+C_{1}^{2}} \sqrt{A_{2}^{2}+B_{2}^{2}+C_{2}^{2}}} \quad\left(0 \leqslant \theta \leqslant \frac{\pi}{2}\right)$（平面平行对应法向量平行；平面垂直对应法向量垂直；平面夹角与法向量夹角有关（相加等于$\pi$），法向量夹角的绝对值是平面夹角，注意平面夹角的范围）
2、直线与直线之间的位置关系：设直线$L_{1}: \frac{x-x_{1}}{l_{1}}=\frac{y-y_{1}}{m_{1}}=\frac{z-z_{1}}{n_{1}},L_{2}: \frac{x-x_{2}}{l_{2}}=\frac{y-y_{2}}{m_{2}}=\frac{z-z_{2}}{n_{2}}$，平行：$L_{1} / / L_{2} \Leftrightarrow \frac{l_{1}}{l_{2}}=\frac{m_{1}}{m_{2}}=\frac{n_{1}}{n_{2}}$（其中若某分母为零, 理解对应的分子也为零）；垂直：$L_{1} \perp L_{2} \Leftrightarrow l_{1} l_{2}+m_{1} m_{2}+n_{1} n_{2}=0$；夹角：$\cos \theta=\frac{\left|l_{1} l_{2}+m_{1} m_{2}+n_{1} n_{2}\right|}{\sqrt{l_{1}^{2}+m_{1}^{2}+n_{1}^{2}} \sqrt{l_{2}^{2}+m_{2}^{2}+n_{2}^{2}}} \quad\left(0 \leqslant \theta \leqslant \frac{\pi}{2}\right)$（直线平行对应方向向量平行；直线垂直对应方向向量垂直；直线夹角与方向向量夹角有关（相等，或者相加等于$\pi$），方向向量夹角的绝对值是直线夹角，注意直线夹角的范围）
3、平面与直线之间的位置关系：设平面$\Pi: A x+B y+C z+D=0$，直线$L: \frac{x-x_{0}}{l}=\frac{y-y_{0}}{m}=\frac{z-z_{0}}{n}$，平行：$\Pi / / L \Leftrightarrow A l+B m+C n=0$；垂直：$\Pi \perp L \Leftrightarrow \frac{A}{l}=\frac{B}{m}=\frac{C}{n}$（其中若某分母为零, 理解对应的分子也为零）；夹角：$\sin \theta=\frac{|A l+B m+C n|}{\sqrt{A^{2}+B^{2}+C^{2}} \sqrt{l^{2}+m^{2}+n^{2}}} \quad\left(0 \leqslant \theta \leqslant \frac{\pi}{2}\right)$（直线与平面平行对应方向向量与法向量垂直；直线与平面垂直对应方向向量与法向量平行；直线与平面夹角与方向向量和法向量夹角有关，取绝对值即可，注意直线夹角的范围）
4、点到平面的距离：点$\left(x_{0}, y_{0}, z_{0}\right)$到平面$A x+B y+C z+D=0$的距离为$d=\frac{\left|A x_{0}+B y_{0}+C z_{0}+D\right|}{\sqrt{A^{2}+B^{2}+C^{2}}}$（点到面距离公式，点带入到面相当于一个新的平面相当于平面的偏离程度，然后在法向量上做了标准化）
5、点到直线的距离：点$\left(x_{0}, y_{0}, z_{0}\right)$到直线$\frac{x-x_{1}}{l}=\frac{y-y_{1}}{m}=\frac{z-z_{1}}{n}$的距离为$d=\frac{\left|\left\{x_{1}-x_{0}, y_{1}-y_{0}, z_{1}-z_{0}\right\} \times\{l, m, n\}\right|}{\sqrt{l^{2}+m^{2}+n^{2}}}$（点到线距离公式，利用点和直线上的一点构造一个向量A，再利用A和方向向量的关系求解，理解即可）
6、两不相交直线的距离：设直线$L_{1}$与$L_{2}$的方向向量分别为$s_{1}=\left\{l_{1}, m_{1}, n_{1}\right\}$与$s_{2}=\left\{l_{2}, m_{2}, n_{2}\right\}$，点$A \in L_{1}$，点$B \in L_{2}$，则$L_{1}$与$L_{2}$间的距离$d=\frac{\left|\left(s_{1} s_{2} \overrightarrow{A B}\right)\right|}{\left|s_{1} \times \boldsymbol{s}_{2}\right|}$（或者写成$d=\frac{\left|\left(\boldsymbol{s}_{1} \times \boldsymbol{s}_{2}\right) \cdot \overrightarrow{A B}\right|}{\left|\boldsymbol{s}_{1} \times \boldsymbol{s}_{2}\right|}$）（其中$s_{1} \times \boldsymbol{s}_{2}$是在求解两直线最短距离的方向（与两直线都垂直），然后求解向量$\overrightarrow{A B}$在该方向上的映射值）",向量代数与空间几何
积分与换元基础,"基本积分公式：
1、$\int a^{x} \mathrm{~d} x=\frac{a^{x}}{\ln a}+C(a>0, a \neq 1)$
2、$\int \tan x \mathrm{~d} x=-\ln |\cos x|+C$
3、$\int \cot x \mathrm{~d} x=\ln |\sin x|+C$
4、$\int \csc x \mathrm{~d} x=\ln |\csc x-\cot x|+C$
5、$\int \sec x \mathrm{~d} x=\ln |\sec x+\tan x|+C$
6、$\int \sec ^{2} x \mathrm{~d} x=\tan x+C$
7、$\int \csc ^{2} x \mathrm{~d} x=-\cot x+C$
8、$\int \frac{1}{a^{2}+x^{2}} \mathrm{~d} x=\frac{1}{a} \arctan \frac{x}{a}+C$
9、$\int \frac{1}{a^{2}-x^{2}} \mathrm{~d} x=\frac{1}{2 a} \ln \mid \frac{a+x}{a-x} \mid+C$
10、$\int \frac{1}{\sqrt{a^{2}-x^{2}}} \mathrm{~d} x=\arcsin \frac{x}{a}+C$
11、$\int \frac{\mathrm{d} x}{\sqrt{x^{2} \pm a^{2}}}=\ln \mid x+\sqrt{x^{2} \pm a^{2}} \mid+ C$
备注：理解记忆推导
——————————————————————————
常见的换元法：
1、$\int R\left(x, \sqrt{a^{2}-x^{2}}\right) \mathrm{d} x, \int R\left(x, \sqrt{x^{2} \pm a^{2}}\right) \mathrm{d} x \text { 型, } a>0$（根号型的处理，或者相似的，根号中配成平方之后的）
1.1、$\sqrt{a^{2}-x^{2}}$型，令$x=a \sin t, \mathrm{~d} x=a \cos t \mathrm{~d} t$
1.2、$\sqrt{x^{2}+a^{2}}$型，令$x=a \tan t, \mathrm{~d} x=a \sec ^{2} t \mathrm{~d} t$
1.3、$\sqrt{x^{2}-a^{2}}$型，令$x=a \sec t, \mathrm{~d} x=a \sec t \tan t \mathrm{~d} t$
2、$\int R(x, \sqrt[n]{a x+b}, \sqrt[m]{a x+b}) \mathrm{d} x$型，令$\sqrt[n n]{a x+b}=t, x=\frac{t^{m n}-b}{a}, \mathrm{~d} x=\frac{m n}{a} t^{m n-1} \mathrm{~d} t$（分数幂，无分数）
3、$\int R\left(x, \sqrt{\frac{a x+b}{c x+d}}\right) \mathrm{d} x$型，令$\sqrt{\frac{a x+b}{c x+d}}=t, x=\frac{d t^{2}-b}{a-c t^{2}}, \mathrm{~d} x=\frac{2(a d-b c) t}{\left(a-c t^{2}\right)^{2}} \mathrm{~d} t .$其中设$a d-b c \neq 0$（分数幂，有分数）
4、$\int R(\sin x, \cos x) \mathrm{d} x$型，令$\tan({\frac{x}{2}})=t$，则$\sin x=\frac{2 t}{1+t^{2}}, \cos x=\frac{1}{1+t^{2}}, \mathrm{~d} x=\frac{2}{1+t^{2}} \mathrm{~d} t$（万能代换）
——————————————————————————
几个十分有用的定积分公式：
1、积分区间关于$y$轴对称，被积分函数是奇函数或者偶函数（对积分区间和被积分函数的要求）
2、周期函数的积分：$\int_{a}^{a+T} f(x) \mathrm{d} x=\int_{0}^{T} f(x) \mathrm{d} x$
3、华里士公式：$\int_{0}^{\frac{\pi}{2}} \sin ^{n} x \mathrm{~d} x=\int_{0}^{\frac{\pi}{2}} \cos ^{n} x \mathrm{~d} x=\left\{\begin{array}{l}\frac{n-1}{n} \cdot \frac{n-3}{n-2} \cdots \cdots \frac{1}{2} \cdot \frac{\pi}{2}, \quad \text { 当 } n \text { 为正偶数 } \\\frac{n-1}{n} \cdot \frac{n-3}{n-2} \cdots \cdots \cdot \frac{2}{3} \cdot 1, \quad \text { 当 } n \text { 为大于 } 1 \text { 的正奇数 }\end{array}\right.$
问题：华里士公式的推导",一元积分
已知极限的求解,"已知极限求另一有关的极限：
1、方法一：利用极限与无穷小的关系，由题设条件去掉极限符号，解出来$f(x)$，代入到欲求的极限式并求解
2、方法二：由已知极限出发，推导出欲求极限的一些有用的结果，或者将欲求的极限凑成已知极限的表示形式
注意：去掉极限符号时注意添加无穷小量并将无穷小量跟随计算（大题需要添加对无穷小量的说明）
——————————————————————————
已知极限求参数：
1、泰勒公式法：利用佩亚诺余项泰勒公式将函数展开，（有时需要用求解极限的方式化简）直接求解待定参数（当泰勒公式不是现成的，必要时可以推导函数的泰勒级数展开式）
2、洛必达法则法：利用洛必达法则，每一步需要对参数进行讨论，满足一定的条件才可以继续用洛必达，未知参数的值可以用满足的条件进行求解（因为极限存在，所以洛必达法则条件必定满足）
3、先化简再求值：利用求解极限的方式将极限进行化简，根据极限的值的类型求解参数
注意：有时对未知参数的值进行讨论",函数极限连续
